"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0387,-2.4447e-20,3.9184e-19,2.5188e-05,1.0425e-05,0.73372,1,5.304,5.304,0,0
1.0392,-2.4457e-20,3.9201e-19,2.4919e-05,1.0416e-05,0.73327,1,5.355,5.355,0,0
1.0396,-2.4467e-20,3.9217e-19,2.4652e-05,1.0407e-05,0.73282,1,5.406,5.406,0,0
1.04,-2.4477e-20,3.9233e-19,2.4405e-05,1.0399e-05,0.73237,1,5.457,5.457,0,0
1.0405,-2.4487e-20,3.925e-19,2.4157e-05,1.039e-05,0.73192,1,5.508,5.508,0,0
1.0409,-2.4497e-20,3.9266e-19,2.391e-05,1.0382e-05,0.73147,1,5.559,5.559,0,0
1.0413,-2.4508e-20,3.9282e-19,2.3666e-05,1.0374e-05,0.73101,1,5.61,5.61,0,0
1.0417,-2.4518e-20,3.9299e-19,2.3436e-05,1.0366e-05,0.73056,1,5.661,5.661,0,0
1.0422,-2.4528e-20,3.9315e-19,2.3206e-05,1.0357e-05,0.73011,1,5.712,5.712,0,0
1.0426,-2.4538e-20,3.9331e-19,2.2976e-05,1.0349e-05,0.72966,1,5.763,5.763,0,0
1.043,-2.4548e-20,3.9347e-19,2.2751e-05,1.0341e-05,0.72921,1,5.814,5.814,0,0
1.0435,-2.4558e-20,3.9363e-19,2.2538e-05,1.0333e-05,0.72876,1,5.865,5.865,0,0
1.0439,-2.4568e-20,3.938e-19,2.2325e-05,1.0325e-05,0.72831,1,5.916,5.916,0,0
1.0443,-2.4578e-20,3.9396e-19,2.2112e-05,1.0317e-05,0.72786,1,5.967,5.967,0,0
1.0448,-2.4588e-20,3.9412e-19,2.1904e-05,1.031e-05,0.72741,1,6.018,6.018,0,0
1.0452,-2.4598e-20,3.9428e-19,2.1706e-05,1.0302e-05,0.72696,1,6.069,6.069,0,0
1.0456,-2.4608e-20,3.9444e-19,2.1508e-05,1.0295e-05,0.72651,1,6.12,6.12,0,0
1.046,-2.4619e-20,3.946e-19,2.131e-05,1.0288e-05,0.72606,1,6.171,6.171,0,0
1.0465,-2.4629e-20,3.9476e-19,2.1118e-05,1.028e-05,0.72562,1,6.222,6.222,0,0
1.0469,-2.4639e-20,3.9492e-19,2.0932e-05,1.0273e-05,0.72517,1,6.273,6.273,0,0
1.0473,-2.4649e-20,3.9508e-19,2.0747e-05,1.0265e-05,0.72472,1,6.324,6.324,0,0
1.0477,-2.4659e-20,3.9524e-19,2.0562e-05,1.0258e-05,0.72428,1,6.375,6.375,0,0
1.0482,-2.4669e-20,3.954e-19,2.0383e-05,1.0251e-05,0.72383,1,6.426,6.426,0,0
1.0486,-2.4678e-20,3.9556e-19,2.0211e-05,1.0244e-05,0.72339,1,6.477,6.477,0,0
1.049,-2.4688e-20,3.9572e-19,2.004e-05,1.0238e-05,0.72294,1,6.528,6.528,0,0
1.0494,-2.4698e-20,3.9588e-19,1.9868e-05,1.0232e-05,0.7225,1,6.579,6.579,0,0
1.0498,-2.4708e-20,3.9604e-19,1.9702e-05,1.0225e-05,0.72205,1,6.63,6.63,0,0
1.0503,-2.4718e-20,3.962e-19,1.954e-05,1.0218e-05,0.72161,1,6.681,6.681,0,0
1.0507,-2.4728e-20,3.9636e-19,1.9378e-05,1.0212e-05,0.72117,1,6.732,6.732,0,0
1.0511,-2.4738e-20,3.9652e-19,1.9216e-05,1.0205e-05,0.72073,1,6.783,6.783,0,0
1.0515,-2.4748e-20,3.9667e-19,1.9063e-05,1.0199e-05,0.72029,1,6.834,6.834,0,0
1.0519,-2.4758e-20,3.9683e-19,1.8913e-05,1.0194e-05,0.71985,1,6.885,6.885,0,0
1.0524,-2.4767e-20,3.9699e-19,1.8763e-05,1.0189e-05,0.71941,1,6.936,6.936,0,0
1.0528,-2.4777e-20,3.9714e-19,1.8613e-05,1.0184e-05,0.71897,1,6.987,6.987,0,0
1.0532,-2.4787e-20,3.973e-19,1.8471e-05,1.0179e-05,0.71853,1,7.038,7.038,0,0
1.0536,-2.4797e-20,3.9746e-19,1.8331e-05,1.0174e-05,0.7181,1,7.089,7.089,0,0
1.054,-2.4806e-20,3.9761e-19,1.8192e-05,1.017e-05,0.71766,1,7.14,7.14,0,0
1.0544,-2.4816e-20,3.9777e-19,1.8052e-05,1.0165e-05,0.71722,1,7.191,7.191,0,0
1.0548,-2.4826e-20,3.9792e-19,1.792e-05,1.0162e-05,0.71679,1,7.242,7.242,0,0
1.0553,-2.4836e-20,3.9808e-19,1.779e-05,1.0159e-05,0.71636,1,7.293,7.293,0,0
1.0557,-2.4845e-20,3.9823e-19,1.766e-05,1.0156e-05,0.71592,1,7.344,7.344,0,0
1.0561,-2.4855e-20,3.9839e-19,1.753e-05,1.0153e-05,0.71549,1,7.395,7.395,0,0
