"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0915,2.1065e-14,3.3203e-16,0.0014975,0.0023846,0.87546,1,13.64,13.64,0,0
1.0923,2.1081e-14,3.3227e-16,0.0014877,0.0023686,0.87464,1,13.764,13.764,0,0
1.0931,2.1096e-14,3.3251e-16,0.0014786,0.0023537,0.87381,1,13.888,13.888,0,0
1.0939,2.1111e-14,3.3275e-16,0.0014696,0.0023394,0.87299,1,14.012,14.012,0,0
1.0947,2.1126e-14,3.3299e-16,0.0014609,0.0023254,0.87217,1,14.136,14.136,0,0
1.0955,2.1142e-14,3.3323e-16,0.0014524,0.0023123,0.87135,1,14.26,14.26,0,0
1.0963,2.1157e-14,3.3347e-16,0.001444,0.0022991,0.87054,1,14.384,14.384,0,0
1.097,2.1171e-14,3.337e-16,0.001436,0.0022873,0.86973,1,14.508,14.508,0,0
1.0978,2.1186e-14,3.3394e-16,0.0014281,0.0022756,0.86892,1,14.632,14.632,0,0
1.0986,2.1201e-14,3.3417e-16,0.0014207,0.002265,0.86811,1,14.756,14.756,0,0
1.0993,2.1216e-14,3.344e-16,0.0014138,0.0022557,0.86731,1,14.88,14.88,0,0
1.1001,2.123e-14,3.3463e-16,0.0014069,0.0022464,0.86651,1,15.004,15.004,0,0
1.1008,2.1245e-14,3.3486e-16,0.0014006,0.0022377,0.86572,1,15.128,15.128,0,0
1.1016,2.1259e-14,3.3509e-16,0.0013943,0.002229,0.86493,1,15.252,15.252,0,0
1.1023,2.1274e-14,3.3532e-16,0.0013883,0.002222,0.86414,1,15.376,15.376,0,0
1.1031,2.1288e-14,3.3554e-16,0.0013826,0.0022161,0.86335,1,15.5,15.5,0,0
1.1038,2.1303e-14,3.3577e-16,0.0013768,0.0022103,0.86256,1,15.624,15.624,0,0
1.1046,2.1317e-14,3.3599e-16,0.001371,0.0022051,0.86178,1,15.748,15.748,0,0
1.1053,2.1331e-14,3.3622e-16,0.0013652,0.0021999,0.86099,1,15.872,15.872,0,0
1.106,2.1345e-14,3.3644e-16,0.0013561,0.0021841,0.86021,1,15.996,15.996,0,0
1.1068,2.1359e-14,3.3666e-16,0.0013461,0.0021651,0.85944,1,16.12,16.12,0,0
1.1075,2.1373e-14,3.3688e-16,0.0013368,0.0021495,0.85866,1,16.244,16.244,0,0
1.1082,2.1387e-14,3.371e-16,0.0013285,0.0021399,0.85789,1,16.368,16.368,0,0
1.1089,2.1401e-14,3.3732e-16,0.0013202,0.0021303,0.85712,1,16.492,16.492,0,0
1.1097,2.1415e-14,3.3754e-16,0.0013171,0.002138,0.85635,1,16.616,16.616,0,0
1.1104,2.1429e-14,3.3776e-16,0.0013145,0.0021469,0.85559,1,16.74,16.74,0,0
1.1111,2.1443e-14,3.3798e-16,0.001322,0.0021911,0.85483,1,16.864,16.864,0,0
1.1118,2.1457e-14,3.382e-16,0.001339,0.0022682,0.85407,1,16.988,16.988,0,0
1.1125,2.1471e-14,3.3842e-16,0.0013563,0.0023464,0.85331,1,17.112,17.112,0,0
1.1133,2.1484e-14,3.3864e-16,0.0013758,0.0024351,0.85256,1,17.236,17.236,0,0
1.114,2.1498e-14,3.3885e-16,0.0013952,0.0025237,0.85181,1,17.36,17.36,0,0
