"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0587,2.0432e-14,3.2204e-16,0.0023407,0.0043667,0.53603,0.87589,0,1,8.804,8.804,0,0
1.0596,2.045e-14,3.2233e-16,0.0023288,0.0043612,0.53399,0.87498,0,1,8.928,8.928,0,0
1.0606,2.0468e-14,3.2261e-16,0.0023171,0.0043557,0.53197,0.87407,0,1,9.052,9.052,0,0
1.0615,2.0486e-14,3.2289e-16,0.0023056,0.0043501,0.53001,0.87317,0,1,9.176,9.176,0,0
1.0624,2.0504e-14,3.2318e-16,0.0022941,0.0043446,0.52804,0.87226,0,1,9.3,9.3,0,0
1.0634,2.0522e-14,3.2346e-16,0.002283,0.004339,0.52615,0.87135,0,1,9.424,9.424,0,0
1.0643,2.054e-14,3.2374e-16,0.0022718,0.0043333,0.52425,0.87045,0,1,9.548,9.548,0,0
1.0652,2.0558e-14,3.2403e-16,0.0022608,0.0043277,0.52241,0.86955,0,1,9.672,9.672,0,0
1.0662,2.0575e-14,3.2431e-16,0.00225,0.004322,0.52059,0.86864,0,1,9.796,9.796,0,0
1.0671,2.0593e-14,3.2459e-16,0.0022392,0.0043162,0.51878,0.86774,0,1,9.92,9.92,0,0
1.068,2.0611e-14,3.2487e-16,0.0022287,0.0043104,0.51704,0.86684,0,1,10.044,10.044,0,0
1.0689,2.0629e-14,3.2515e-16,0.0022182,0.0043046,0.51529,0.86595,0,1,10.168,10.168,0,0
1.0698,2.0646e-14,3.2543e-16,0.0022079,0.0042988,0.5136,0.86505,0,1,10.292,10.292,0,0
1.0707,2.0664e-14,3.2571e-16,0.0021977,0.0042928,0.51193,0.86415,0,1,10.416,10.416,0,0
1.0717,2.0682e-14,3.2598e-16,0.0021876,0.0042869,0.51029,0.86326,0,1,10.54,10.54,0,0
1.0726,2.0699e-14,3.2626e-16,0.0021776,0.0042809,0.50869,0.86236,0,1,10.664,10.664,0,0
1.0735,2.0717e-14,3.2654e-16,0.0021677,0.0042748,0.50709,0.86147,0,1,10.788,10.788,0,0
1.0744,2.0734e-14,3.2681e-16,0.0021581,0.0042687,0.50555,0.86058,0,1,10.912,10.912,0,0
1.0753,2.0752e-14,3.2708e-16,0.0021484,0.0042625,0.50402,0.85969,0,1,11.036,11.036,0,0
1.0762,2.0769e-14,3.2736e-16,0.0021389,0.0042563,0.50253,0.8588,0,1,11.16,11.16,0,0
